latitude,longitude,presence
42.0267959722,-70.718737,0
41.9124779804,-70.5772556551,0
42.249423434,-71.9631125271,0
42.6296466667,-71.2945116667,1
42.4169105411,-72.5240746458,1
42.5068183333,-72.33643,0
42.66758725,-72.3288302,1
42.71584269,-73.26644786,0
42.1044111667,-70.1658333333,0
41.9160883333,-70.628395,0
42.4384766667,-71.5690866667,0
42.0285259761,-70.6853203308,0
41.9673,-70.7451633333,0
42.2409178668,-71.023736881,0
42.2059222222,-72.6277694444,1
41.6818084223,-70.8571812138,0
42.395617624,-71.965840044,1
42.5003572,-72.6393597,0
42.6811356997,-72.4787000997,1
42.6262029637,-70.719044432,0
42.3916066667,-72.3446016667,0
41.92036333,-71.23072,0
41.3941666667,-70.5044444444,0
42.2116638919,-71.2688159038,0
42.13536614,-71.1960786699,0
42.4582474936,-72.8982979295,1
42.2276355587,-70.7593174135,0
42.5799305556,-71.0234610833,0
41.3264377322,-70.7505736314,0
41.6483612061,-70.8666305542,0
42.2504533333,-71.6279,0
42.1115333333,-71.795775,0
42.4273681641,-72.8318252563,0
42.64009244,-72.11677159,0
42.3199050712,-71.4205091214,0
41.8764388889,-70.5368638889,0
42.22888812,-71.14806875,0
41.9121239997,-70.6836978,0
42.4386178279,-71.2369906502,0
42.30583976,-73.00619651,0
41.6288870859,-70.803731502,0
42.6774583333,-73.1453333333,0
42.383295,-72.5152966667,1
42.8505366667,-70.9343033333,0
41.7274887553,-70.2375350263,0
42.6176716667,-71.4921883333,0
42.2335466667,-72.6647716667,1
41.450228,-70.6385099722,0
42.4707942683,-71.0429717886,0
42.08228,-70.2034766667,0
42.847992105,-71.0316221896,0
42.64581,-72.6235816667,0
42.4213821722,-72.4803350861,1
42.3958083333,-71.0332028333,0
42.4340530556,-71.3087080556,0
42.463404659,-71.1576708784,0
42.6126060174,-71.5711150755,1
42.5976366667,-71.4141,0
42.2977366728,-72.4437116667,0
42.41000333,-71.12332783,0
42.4746002583,-72.1605432686,0
42.40627,-71.3558416667,0
42.5771636506,-71.542398743,0
42.0763980292,-70.9161712503,0
42.6032758942,-70.9000279895,1
41.7599033333,-70.0754305,0
42.528035,-73.191628,0
42.4971002164,-71.2442233626,0
42.2581611111,-71.0614111111,0
41.9971558257,-70.9907135997,1
42.3453133333,-71.4332966667,0
42.439121,-71.508967,0
42.3147789552,-71.2810919689,0
42.3828210954,-71.1430420385,0
42.4973065512,-71.3638756776,1
41.9263888889,-69.9755555556,0
42.36513,-71.878655,1
42.47532639,-71.06725886,0
42.396556441,-71.1443191929,0
42.0960503303,-72.3312153295,1
42.0954576409,-72.5879897929,0
42.4437637775,-71.2419780468,0
42.5962716667,-70.9759216667,0
42.5480583333,-71.6935716667,1
