observation_id,taxon_id,taxon_name,common_name,latitude,longitude,positional_accuracy,observed_on,coordinates_obscured
1417575,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.4034766667,-71.46388,,2015-04-23,False
1419772,42223,Odocoileus virginianus,White-tailed Deer,42.065403,-73.349626,49.0,2015-04-23,False
1436367,41638,Ursus americanus,American Black Bear,42.30839332,-72.37307405,5.0,2015-04-26,False
1436368,42051,Canis latrans,Coyote,42.30906108,-72.37345741,3.0,2015-04-26,False
1453702,41570,Eubalaena glacialis,North Atlantic Right Whale,42.4016544085,-70.7906129275,,2015-05-03,True
1477035,43794,Castor canadensis,American Beaver,42.4142366667,-73.3126833333,54.0,2015-05-10,False
1477630,42223,Odocoileus virginianus,White-tailed Deer,41.52913,-70.651568,27.0,2015-05-11,False
1478944,42223,Odocoileus virginianus,White-tailed Deer,41.524578,-70.660739,30.0,2015-05-08,False
1484236,46217,Tamias striatus,Eastern Chipmunk,42.3692,-71.14145,,2015-05-13,False
1484244,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3710933333,-71.1418766667,,2015-05-13,False
1486993,43096,Sylvilagus,Cottontail Rabbits,41.524929,-70.661101,20.0,2015-04-26,False
1487659,44026,Erethizon dorsatum,North American Porcupine,42.3363566667,-73.1355216667,249.0,2015-05-11,False
1490619,46217,Tamias striatus,Eastern Chipmunk,42.3692283333,-71.14747,,2015-05-15,False
1495775,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.179275,-73.29073,21.0,2015-05-15,False
